url,date,title,article
https://www.indiatoday.in/india/story/up-deoria-police-officer-masturbates-at-woman-video-viral-1695732-2020-07-01,2020-07-01 09:24:00,"UP police officer masturbates in front of woman at police station, gets suspended after video goes viral","A police officer in Uttar Pradesh’s Deoria was caught masturbating in front of a woman complainant inside a police station. The woman recorded a video of the incident after being fed up with the misbehaviour that continued over days. The video has now gone viral on the internet showing the officer at Bhatni Police Station masturbating at her.Station House Officer (SHO) of Bhatni Police Station, Bhishm Pal Singh, was seen masturbating in front of a woman complainant at the police station. SP Deoria has said, ""An FIR has been registered against him and he has been suspended. Action is being taken.""The viral video of the incident has caused controversy in the area and locals called for action against the officer. The woman has alleged that the officer was touching his private parts in front of her when she was taken to his chamber to lodge the complaint.Sources have also said that this is not the first time the SHO misbehaved with the complainant woman in his office at the police station. The woman has been frequenting the police station to lodge a complaint over a land dispute.The woman was accompanied by her daughter, who was fed up with the obscene acts of the police officer when she decided to take him to task and shot the video from a hidden camera. After the video went viral, the officer was pulled up and suspended from the force.The complainant woman said, “I ignored his misbehaviour for the first 2-3 times and wanted him to lodge our case in the land dispute. But then a woman relative said that she also faced a similar incident at the hands of this officer. This is when I decided to film him.”The errant officer was earlier suspended from Salempur Kotwali police station after two days of his transfer in the area. After the latest incident, the Deoria SP visited the Bhatni police station.Also Read | Assam: Doctors recover mobile charger from man's bladder, make shocking discoveryAlso Watch | Bengaluru: Monster father brutally beats son, mother records the entire incident on camera"
https://www.indiatoday.in/india/story/pakistani-troop-movement-in-ladakh-sources-say-china-in-talks-with-pak-terror-groups-1695712-2020-07-01,2020-07-01 08:26:00,"Pakistani troop movement in Ladakh, sources say China in talks with Pak terror groups","At a time when the Indian and Chinese militaries continue to engage in talks to defuse the tension in Ladakh region, sources say Pakistan has started moving troops along the Gilgit-Baltistan area and the Chinese army is holding talks with terror organisation Al Badr to incite violence in Jammu and Kashmir.According to sources, Pakistan has moved almost 20,000 additional troops in the northern Ladakh region to match Chinese deployments.Sources have indicated that Pakistan is looking at an opportunity to open a two-front attack on India. Meanwhile, there were a series of meetings between the Indian Army and intelligence officials to discuss the looming threat.Sources have said Pakistan’s ISI, egged on by the Chinese, has further increased the sending of battle-hardened terrorists or even planning BAT operations in India.Sources have also said that the groups are also discussing ""internal sabotage"" with the nearly 100 Pakistani terrorists inside Kashmir.While security forces have had recent successes in killing over 120 terrorists in Kashmir, most of them are locals with only a handful foreign terrorists.Sources have also indicated that Pakistan may try to do internal sabotage in India by attacking the security forces in J&K.Indian and Chinese militaries on Tuesday held an over 10-hour Corps Commander-level dialogue with a focus on finalising modalities for the disengagement of troops from various standoff points in eastern Ladakh, and explored ways to ease tension in the region.The Indian delegation conveyed concerns over China's ""new claim lines"" in the region and demanded restoration of status quo ante as well as immediate withdrawal of Chinese troops from Galwan Valley, Pangong Tso and a number of other areas.Also Read | China was surprised in Doklam, never thought India would challenge it: China expert Yun SunAlso Watch | In Depth | TikTok, 58 other Chinese apps banned in India: What does it mean?"
https://www.indiatoday.in/india/story/india-coronavirus-cases-deaths-toll-numbers-update-1695749-2020-07-01,2020-07-01 09:49:00,"India sees 18,653 coronavirus cases, 507 deaths in a day; total case tally tops 5.8 lakh","India's novel coronavirus case tally climbed to 5,85,493 with a single day spike of 18,653 on Wednesday morning. The death toll climbed to 17,400 after 507 new fatalities were recorded in the last 24 hours, ending Wednesday morning.According to the latest data by Union Ministry of Health and Family Welfare, active cases in India now stand at 2,20,114, while 3,47,978 people have recovered.From June 1, when relaxations were introduced under Unlock-1, the country has reported 3.94 lakh cases with Maharashtra, Tamil Nadu, Delhi and Gujarat accounting for nearly two-third of the total cases in India.India is the fourth worst-affected country in the world with 5.85 lakh coronavirus cases.Also read | Tamil Nadu govt releases SOPs for places of worship ahead of reopeningOn Tuesday, India Covid-19 tally climbed to 5,66,840 after a single-day spike of 18,522 cases. The death toll rose to 16,893 on Tuesday after 418 new fatalities.Prime Minister Narendra Modi on Tuesday had said it was a cause of worry that people were not strictly adhering to rules and precautions as they did during the lockdown.In his address to the nation on Tuesday, PM Modi said India is in a better position compared to many countries of the world, as timely imposition of lockdown and other decisions have saved lakhs of lives.He, however, lamented that there is an increasing ""negligence"" in personal and social behaviour during the easing of restrictions and urged them to be more vigilant as Unlock-2 begins today.""We have also seen that since 'Unlock-1', there is increasing negligence in personal and social behaviour. Earlier, we were very careful with respect to wearing of masks, social distancing and washing of hands for 20 seconds. But today, when we need to be more careful, increasing negligence is a cause of worry,"" PM Modi said as he urged the people to follow all necessary precautions.READ | New normal in AC trains, breathe in OT-like fresh airALSO READ | Railways cancels all regular trains till August 12, specials to continueALSO WATCH | Image of the Day: Mumbai local trains run for essential services"
https://www.indiatoday.in/india/story/sopore-kashmir-crpf-patrolling-party-injured-killed-update-news-1695721-2020-07-01,2020-07-01 09:28:00,"CRPF personnel, civilian killed as terrorists attack patrol party in J&K’s Sopore","A Central Reserve Police Force (CRPF) personnel and a civilian were killed after terrorists fired upon a CRPF patrol party on Wednesday morning in Jammu and Kashmir's Sopore.According to initial reports, terrorists opened attacked a naka party of security forces in Sopore as they were exiting their vehicle, resulting in injuries to three CRPF jawans and a civilian, the officials said.Jammu and Kashmir IG Dilbag Singh, “Terrorists attacked a naka party at Model Town in Sopore. Injuries to some Central Reserve Police Force (CRPF) jawans and a civilian reported. Area cordoned off and search operation started.J&K: A Central Reserve Police Force (CRPF) jawan & a civilian lost their lives, & 3 CRPF personnel injured after terrorists fired upon a CRPF patrolling party in Sopore, today. According to CRPF, 2 of the injured CRPF jawans are critical. (visuals deferred by unspecified time) pic.twitter.com/dLHapPsSJa— ANI (@ANI) July 1, 2020
Later, the CRPF said in a statement that one personnel and a civilian injured in the attack in Sopore had succumbed to his injuries.Two other CRPF personnel were also injured in the terror attack. As per police sources, the CRPF jawans suffered critical injuries and were shifted to a hospital.The area has, meanwhile, been cordoned off to track down the assailants.
Also Read | Kashmir: Army foils infiltration bid along LoC in KupwaraAlso Read | Pakistani troop movement in Ladakh, sources say China in talks with Pak terror groupsAlso Watch | 2 terrorists killed in J&K's Anantnagwindow._ttCc = window._ttCc || [];_ttCc.push(function(){callJavaScriptFile(""//platform.twitter.com/widgets.js"");});"
https://www.indiatoday.in/world/story/nepal-demand-pm-oli-resignation-remarks-india-nepal-communist-party-1695734-2020-07-01,2020-07-01 09:22:00,Nepal’s ruling party demand PM Oli’s resignation over remarks on India,"Top leaders of Nepal's ruling communist party, including former premier Pushpa Kamal Dahal 'Prachanda' on Tuesday demanded Prime Minister K P Sharma Oli's resignation, saying his recent anti-India remarks were ""neither politically correct nor diplomatically appropriate.""As soon as the powerful Standing Committee meeting of the Nepal Communist Party (NCP) commenced at the Prime Minister's Official residence at Baluwatar, Prachanda slammed Prime Minister Oli for the remarks he made on Sunday in which he claimed that efforts were being made to oust him after his government redrew Nepal's political map by incorporating three strategically key Indian areas.""The Prime Minister's remarks that India was conspiring to remove him was neither politically correct, nor diplomatically appropriate,"" Prachanda said.""Such a statement by the Prime Minister may damage our relations with the neighbour,"" the chairman of the NCP warned.Prime Minister Oli, 68, on Sunday claimed that there have been various kinds of activities in the ""embassies and hotels"" to remove him from power. He said some Nepalese leaders were also involved in the game.Also watch | KP Oli accuses India of trying to topple Nepal govtAccusing the southern neighbour and leaders of his own party by the Prime Minister was not appropriate, a senior leader of the party quoted Prachanda as saying during the meeting.Prachanda told Oli that it was not India but him who had been seeking his resignation both as party chair and prime minister, the NCP leader said.Besides Prachanda, senior leaders Madhav Kumar Nepal, Jhalanath Khanal, Bamdev Gautam and Narayankaji Shrestha also asked Prime Minister Oli to provide evidence of his accusation and asked to quit the power, he said.What the Prime Minister spoke was objectionable and inappropriate, they said. They also asked the Prime Minister to name the leaders who were behind the conspiracy to remove him.They said the Prime Minister should resign on moral grounds as he spoke such ""undiplomatic and nonpolitical remarks."" However, the Prime Minister who was also present at the meeting, did not make any comment.""It shows that the Prime Minister was reduced to a minority both in the 48-member Standing Committee and nine-member Central Secretariat,"" the senior leader of the NCP party said.Prachanda has time and again spoken about the lack of coordination between the government and the party and he was pressing for a one-man one position system to be followed by the NCP.Also Read | Amid dispute with India, demands of Nepal PM KP Oli’s resignation grows within party""I did not commit any mistake by claiming our land, which has been snatched from us for the past 58 years after Nepal enjoyed the rights over these areas for 146 years,"" Oli said on Sunday.Nepal this month completed the process of redrawing the country's political map through a Constitutional amendment, incorporating Lipulekh, Kalapani and Limpiyadhura areas which India maintains belong to it.India has termed as ""untenable"" the ""artificial enlargement"" of the territorial claims by Nepal.The India-Nepal bilateral ties came under strain after Defence Minister Rajnath Singh inaugurated a 80-km-long strategically crucial road connecting the Lipulekh pass with Dharchula in Uttarakhand on May 8.Nepal reacted sharply to the inauguration of the road claiming that it passed through Nepalese territory. India rejected the claim asserting that the road lies completely within its territory.""In the past when I signed trade agreements with Beijing, my minority government collapsed. But this time we have a government with a full-fledged majority, so no one can remove me now,” Oli, known for his pro-China leanings, said on Sunday.In July 2016, Oli had resigned as prime minister just before a no-confidence vote after the Maoists withdrew support from the coalition government. At the time, he had termed the no-trust motion as a conspiracy by ""foreign elements"" to turn the country into a ""laboratory"" and obstruct the implementation of the new Constitution.Earlier in April this year, Oli was asked to resign from the post.Prime Minister Oli was facing strong criticism from his own colleagues for the government's non-performance and lack of coordination between the party and the government. They were alleging Oli of running the government as per his whim without consulting with the party.Oli last week skipped the first and the second day of the Standing Committee meetings. He, however, attended the third meeting on Saturday, but briefly.READ | Impossible to remove me: Nepal PM KP Sharma Oli claims India conspiring to destabilise his govtREAD | Nepal's Parliament amends map, India terms move 'politically-driven'READ | Made to stand in sun, mercilessly thrashed: Bihar man detained by Nepal Police narrates ordealWATCH | Nepal Parliament passes bill to redraw political map that includes disputed Indian areas"
https://www.indiatoday.in/sports/cricket/story/ms-dhoni-michael-hussey-10-years-continue-csk-ipl-stephen-fleming-1695742-2020-07-01,2020-07-01 10:04:00,"MS Dhoni an incredible person, hope he continues to play as long as he can: Michael Hussey","Former Australia and Chennai Super Kings batsman Michael Hussey backed MS Dhoni to continue playing for as long as he can, saying he wishes the World Cup winner carries on for another 10 years.Hussey said he loves Dhoni as captain and has been awestruck by the way the CSK skipper handles himself on and off the field. Considered one of the best finishers of the game, Hussey said he admires the calm and calculated approach to the game from Dhoni.Dhoni has not played competitive cricket since India's semi-final exit at World Cup 2019. Even as speculations are rife about his international future, Dhoni has kept mum about it. The CSK captain geared up for Indian Premier League (IPL) 2020 as he trained with his mates in Chennai before the season was suspended due to the novel coronavirus pandemic.""He's been an incredible person and player for CSK and India for so long. We hope he keeps playing for another 10 years but I am not sure we are going to be able to see that. Hopefully, he can play for as long as he can,"" Hussey said during an online interaction for Sony Ten Pit Stop.""I love MS as the captain. I love how calm he is and how much he backs his players and shows so much faith in his players. Obviously he is very astute from a tactical point of view. Certain moves he makes... you wonder where he is going with it but it's amazing how often it sort of comes true and works out in his favour.""Also batting with him in the middle in tight run-chases, it's amazing to see how calm he is and how calculated he is. Always wanting to be there in the middle till the last over of the game.""'Fell in love with IPL'Hussey also recalled his days in the IPL, saying he fell in love with Chennai Super Kings the moment he walked into the dressing room for the first time in 2008.The former Australia batsman also shed light on the relationship between Dhoni and head coach Stephen Fleming that has been the backbone of CSK's success over the years.""I fell in love with the IPL from the very moment I walked into the CSK dressing room in 2008. It was such a wonderful environment. Guys that just loved cricket from all over the world. That's what I loved the most.""Bringing guys from all over the world, watching how they prepare for the game, watching how they were talking to them and learning from them. Talking to Indian players about how to play spin in India. It was just such a great environment and I just fell in love straightaway.""Those 2 (Hussey and Dhoni) together, they complement each other so well. They share a very good relationship, a mutual respect there. They both are very good thinkers of the game, very shrewd and very smart. They both work very well together,"" Hussey said.Also Read | Cup ganda hai: KL Rahul gets trolled by Virat Kohli over his 'coffee' postAlso Read | India have to be at their best to beat Australia on home soil: Michael Hussey"
https://www.indiatoday.in/impact-feature/story/oppo-find-x2-beating-the-competition-with-its-supervooc-factor-1695556-2020-06-30,2020-06-30 20:35:00,OPPO Find X2: Beating the competition with its SuperVOOC factor,"When it comes to introducing industry-leading technology in its smartphones, there are hardly any brands that can compete with OPPO. The brand’s first Find came to India in 2014 and had an amazing response in the market. OPPO further redefined smartphone performance in 2018 with the launch of Find X which took the Indian market by storm. And now it has set itself even further apart from the competition by taking the experience of the Find X users to the next level with its latest flagship smart device, the OPPO Find X2.What sets the Find X2 apart from all other premium flagship smartphones in the market is the world’s first commercialized and fastest 65W SuperVOOC 2.0 charging technology. With a powerful companion like that, who would want anything else? And that’s not all. The OPPO Find X2 offers a host of other premium features at a price point that will make you fall in love with it. Let’s dig in. Charging speed that will beat even the bestOPPO has been all about technological innovations, which is visible in their every smartphone launch. Year after year, the company’s R&D efforts have brought consumers the best of the tech world, and one of those is OPPO’s proprietary SuperVOOC Flash Charge. Introduced first in the Find X smartphone, the charging tech has become even better in the new OPPO Find X2.The Find X2 is backed by the world’s first commercialized and fastest 65W SuperVOOC 2.0 charging technology, which can fully charge the phone in just 38 minutes. Users can use their phones all day, without any concern about battery life because they can recharge literally in minutes. Plus, the phone comes with a large 4200 mAh battery.And all of this super-fast charging happens without compromising on safety. SuperVOOC 2.0 continues the VOOC security feature with five levels of security protection from the power adapter, wire, and handset. Special thanks to the multiple cooling technology and TÜV Rheinland Certified Safe Fast-Charge System, the phone will never heat up even when you are charging and using it at the same time. So, you can be assured of a solid, non-stop flagship experience. OPPO’s most powerful and colorful screen EVERThe fact that the OPPO Find X2 Series is in a league of its own becomes evident from the moment you switch on the phone. That is because it comes with the most colorful and powerful screen ever introduced by the brand - a 120 Hz Ultra Vision Screen that comes with 6.7-inch curved 10-bit OLED display with a quad HD+ (1440 x 3168) resolution. It also has a staggering refresh rate of 120 Hz, which means games, apps and videos will flow smoothly across it and scrolling will never be a strain. Unlike other phones where high refresh rates are accompanied by high battery usage, the Find X2 actually can change the refresh rate to suit your usage scenario, and can adjust accordingly - it can deliver a higher refresh rate if you are scrolling, for instance, and revert to a more routine one if you are doing something that does need a high refresh rate. This ensures that power consumption is optimized during screen usage.The display also boasts of accurate color reproduction matching professional level displays, supports over one billion kinds of color displays, making it one of the most richly colored displays you will see on a mobile phone. Thanks to a brightness range of 500 to 800 nits, it will be readable even in the bright afternoon sun. Never too bright to hurt, though, as it can automatically adjust the screen color to match the right conditions around you providing a more comfortable movie viewing experience on Netflix. Not only this, the high-quality screen has been well received in the industry and has also got A+ score from DisplayMate and an Eye Comfort certification from TÜV Rheinland.  Hardware and design to redefine flagshipsEnsuring all this works smoothly requires a lot of power. And the OPPO Find X2 comes with a Qualcomm Snapdragon 865 processor, which is easily the fastest processor you can find on an Android flagship! This combined with up to 12 GB RAM, and 256 GB of storage ensures that the phone always performs at an impressive rate and provides users an ample storage option. Another factor in the smooth running of the phone is the presence of Color OS 7.1, which not only adds a number of features to Android 10, but also ensures smoother software and hardware optimization.The Find X2 is also 5G optimized which means that it is effectively future proof in every sense.Not just performance, the OPPO Find X2 gets full marks in the design department too. The overall look and feel of the device is, in every sense, true flagship level. The OPPO Find X2 comes in ceramic and glass back in Black and Ocean colors and is a delight to the eye. The phone itself is IP54 water and dust resistant and at a mere 8 mm in thickness, will slip into most pockets easily. Not that too many would want to keep it there. With its curved glass display and beautiful frame, the OPPO Find X2 belongs in the limelight rather than in a pocket or a bag. Some serious camera muscleThis being an OPPO’s flagship, comes with best-in-class cameras. The Find X2 features a 48MP main camera, a 12MP 120° ultra-wide sensor and a 13MP telephoto camera with 5x hybrid optical zoom, and up to 20x digital zoom. That’s a whole lot of megapixels of shooting power right on the back of the phone - OPPO calls it the Ultra Vision Camera System. And it delivers stunning images and videos, irrespective of the light conditions.It is not just about specs and hardware, but the unmatched performance and top-notch innovations, especially in the charging department, that will change your expectations from a smartphone forever. The device is available on Amazon at Rs 64,999.With its superior charging technology, design, display, cameras, topped off with super hardware and software integration the Find X2 can indulge the most demanding of users, which makes it THE best android flagship smart device of 2020."
https://www.indiatoday.in/world/story/coronavirus-unemployment-jobs-1695718-2020-07-01,2020-07-01 08:41:00,"No return to pre-pandemic job levels in 2020, says International Labour Organisation","The outlook for the global labour market in the second half of 2020 is ""highly uncertain"" and the forecast recovery will not be enough for employment to return to pre-pandemic levels this year, the International Labour Organization said on Tuesday.In its latest report, the U.N. agency said the fall in global working hours was ""significantly worse than previously estimated"" in the first half of the year. The Americas was the hardest-hit region, losing 18.3% of working hours.Worldwide, an estimated 14% of working hours were lost in the second quarter, equivalent to 400 million full-time jobs, due to the pandemic, the ILO said.It estimated that working-hour losses were likely to still be in the order of 4.9 per cent in the fourth quarter, equivalent to 140 million full-time jobs. Under a pessimistic scenario in a so-called second wave of the pandemic, this figure could rise to 11.9% or 340 million jobs, it said.""The estimates have revised upwards considerably the damage done to our labour markets by the pandemic,"" Guy Ryder, ILO director-general, told a Geneva news conference. ""So there is not going to be a simple or a quick recovery.""The figures cover people who are working shorter hours, who are furloughed, have lost their jobs, or withdrawn from the labour force.They reflect ""worsening conditions"", especially in developing countries, the report said.Some 93 per cent of workers still live in countries with some sort of workplace closures, it said.The pandemic has had a ""disproportionate and damaging effect"" on women workers, who are often employed in hard-hit sectors such as food and accommodation, retail and real estate, Ryder said.Asked about Brazil not imposing strict public health measures to halt spread of coronavirus, Ryder said: ""Clearly undue delay in acting on the health side of pandemic is going to bring worse social and economic outcomes.""""It is inevitable...that the world is going to begin to emerge from this pandemic with higher levels of unemployment, higher levels of poverty, higher levels of inequality, higher levels of frustration among citizens, but also higher levels of indebtedness,"" he said.ALSO READ | Far from over: Coronavirus pandemic speeding up, worse yet to come, warns WHOÄLSO WATCH | Trump blames China for coronavirus pandemic"
https://www.indiatoday.in/impact-feature/story/the-new-koda-rapid-1-0-tsi-a-fuel-efficient-powerhouse-at-an-incredible-price-of-7-49-lakh-ex-showroom-1693096-2020-06-26,2020-06-29 14:23:00,The new ŠKODA RAPID 1.0 TSI: A fuel-efficient powerhouse at an incredible price of ₹7.49 Lakh (Ex-Showroom),"Last month, ŠKODA AUTO India hosted their first ever virtual press conference and unveiled their latest offering in the compact sedan segment, the RAPID 1.0 TSI. Bristling with class-leading features, the new ŠKODA RAPID has been introduced nationwide at an attractive ex-showroom price of INR 7.49 Lakhs. The 1.0-litre TSI engine at its heart makes the RAPID 1.0 this year’s most impressive entry in the Indian four-wheeler market.What is TSI?Turbocharged Stratified Injection (TSI) is an award-winning petrol engine technology that offers blistering power delivery without compromising on fuel-efficiency. The RAPID 1.0 TSI is ŠKODA AUTO India’s first car with the 1.0 TSI engine. The engine delivers an amazing 110 PS (81 kW) of power at 5000 rpm and 175 Nm of torque at 1,750 - 4,000 rpm. The state of the art drivetrain has been tuned to offer refinement, as well as performance, and sets the yardstick in its segment. Exemplary fuel efficiencyThanks to the 6-speed manual transmission, the new RAPID 1.0 TSI offers 18.97 kmpl, a 23% increase in fuel efficiency against the previous generation engine. The new RAPID 1.0 TSI is calibrated for refinement, efficiency as well as performance, and perfectly fits the urbane lifestyle of the ŠKODA AUTO fans and customers. State of the art premium features The ŠKODA RAPID 1.0 TSI comes in 5 spectacular variants: Rider, Ambition, Onyx, Style and Monte Carlo. The new RAPID Style and Monte Carlo feature a 20.32 cm ŠKODA Android Infotainment System as well as dark green glasses with infrared cut. The Onyx dons the dual-tone Tellur Grey leatherette upholstery as standard, while the new RAPID Ambition and Style house distinctive window chrome garnish as well as feature the new ‘Toffee Brown’ colour option. To add to this, in select variants, the RAPID 1.0 TSI comes with projector headlamps, R16 ‘Clubber’ alloy wheels, multi-function steering wheel, climatronic automatic AC, 4 airbags, and much more. The Monte CarloA tribute to the success of the Czech moniker at the legendary ‘Queen of Rallies’, the premium ŠKODA RAPID Monte Carlo combines luxury and glamour with pulse racing sports styling. From dual-tone alloy wheels to super sport steering wheel with red stitching, this variant comes fully loaded with avant-garde features and premium design elements. Unbelievable pricesThe introductory ex-showroom price of the ŠKODA RAPID Rider is INR 7.49 Lakhs, whereas Ambition is priced at INR 9.99 Lakhs. Onyx, Style and Monte Carlo are available at INR 10.19 Lakhs, INR 11.49 Lakhs and INR 11.79 Lakhs, respectively.For a test drive, click here or call 1800 2700 260."
https://www.indiatoday.in/world/story/explosion-at-medical-clinic-in-north-tehran-injured-death-toll-1695686-2020-07-01,2020-07-01 06:15:00,"19 dead, 6 injured in explosion at medical clinic in north Tehran","Nineteen people were killed and six injured on Tuesday in an explosion at a medical clinic in the north of the Iranian capital Tehran, the official IRIB news agency reported, quoting state officials.A gas leak caused the blast, Tehran Deputy Governor Hamid Reza Goudarzi told state television.A video posted on social media appeared to show multiple explosions at the north Tehran site and another showed firefighters using a ladder to reach the roof of the building.Reuters could not independently verify the authenticity of the videos.A fire touched off by the blast has been extinguished, Jalal Maleki, the Tehran Fire Department spokesman said on state TV.The clinic, which had 25 employees inside at the time of the blast, primarily carries out light surgeries and medical imaging, Harirchi said.Last week, an explosion occurred close to a sensitive military site near Tehran which the defence ministry said was caused by a leaking tank at a gas storage facility. No deaths or injuries were reported.READ | Iran issues arrest warrant for Donald Trump over killing of Gen Qassem SoleimaniALSO READ | Satellite image: Iran blast was near suspected missile siteALSO WATCH | Who was General Qasem Soleimani and why was he so popular?"
