url,date,title,article,author
https://timesofindia.indiatimes.com/india/india-china-hold-third-round-of-talks-but-rival-military-build-ups-continue/articleshow/76718609.cms,2020-07-01 00:13:00,"India, China hold third round of talks but rival military build-ups continue","NEW DELHI: India on Tuesday asked China to adhere to the broad de-escalation and disengagement plan of June 22, with gradual, verifiable and mutual troop pull-back from the confrontation sites in eastern Ladakh, followed by reduction in the continuing rival military build-ups along the Line of Actual Control (LAC). There was no official word on the outcome of the third round of talks on Tuesday between 14 Corps commander Lt-General Harinder Singh and South Xinjiang Military District chief Major General Liu Lin, who had held similar marathon dialogues on June 6 and June 22. The meeting on Tuesday, being held on the Indian side of the Chushul-Moldo border personnel meeting (BPM) point in eastern Ladakh for the first time, began at 11 am and continued till late in the night. But sources said China, instead of de-inducting troops, has continued with its military build-up in different sectors along the 3,488-km LAC, with an increase in activity by the People’s Liberation Army (PLA) also being witnessed across Sikkim and Arunachal Pradesh as well. India, while pressing for restoration of status quo as it existed in mid-April, has been matching the PLA deployments with additional troops, artillery guns, tanks and other armoured vehicles. As per the plan agreed upon during the corps commanders meeting on June 22, the rival troops were first to be physically separated by a distance of at least 2.5 to 3 km in all the confrontation or “friction” sites at the Galwan Valley region, Gogra-Hotsprings, Pangong Tso and Depsang to cool down the heightened tensions. In the meeting on Tuesday, India in particular asked the PLA to pull back from the “Finger-4 to 8” stretch (mountainous spurs separated over a distance of 8-km) on the north bank of Pangong Tso, “Patrolling Point-14 (PP-14)” in Galwan Valley and the “Bottleneck” area in Depsang Plains of eastern Ladakh.  “This will ensure another bloody skirmish like the one near PP-14 in Galwan on June 15 (in which 20 Indian soldiers and an unspecified number of PLA troops were killed) does not happen again. But it is yet to take place on the ground,” said a source. After a brief pull-back initially in the Galwan Valley, the PLA had reneged on the agreement to come back to the confrontation site, leading to the escalation in tensions between the rival troops. “There has been no real disengagement on the ground, with the PLA just moving about a dozen vehicles up and down. The Chinese, in fact, have fortified their positions further. Full disengagement, if it happens, might take a few months. We are prepared for the long haul,” he added. ",Rajat Pandit
https://timesofindia.indiatimes.com/business/india-business/indias-app-ban-threatens-chinas-rise-as-a-global-tech-power/articleshow/76715699.cms,2020-06-30 21:49:00,India’s app ban threatens China’s rise as a global tech power,"China over the past decade built an alternate online reality where Google and Facebook barely exist. Now its own largest tech corporations from Alibaba Group Holding Ltd. to Tencent Holdings Ltd. are getting a taste of what a shutout feels like. India’s unprecedented decision to ban 59 of China’s largest apps is a warning to the country’s tech giants, who for years thrived behind a government-imposed Great Firewall that kept out many of America’s best-known internet names. If India finds a way to carry out that threat, it may present a model for other countries from Europe to Southeast Asia that seek to curtail the pervasiveness of apps like ByteDance Ltd.’s TikTok while safeguarding their citizens’ enormously valuable data. The surprise moratorium hit Chinese internet companies just as they were beginning to make headway in the world’s fastest-growing mobile arena, en route to going global and challenging American tech industry supremacy. TikTok had signed up 200 million users there, Xiaomi Corp. is the No. 1 smartphone brand, and Alibaba and Tencent have aggressively pushed their services. But India’s policy jeopardizes all those successes, and could have wider geopolitical consequences as the US seeks to rally countries to stop using Huawei Technologies Co. for 5G networks. With China’s tech companies poised to become some of the most dominant in emerging industries like artificial intelligence, India’s actions may spur countries around the world to weigh the extent to which they let China gain user data -- and potentially economic leverage in future disputes. “Techno-nationalism will manifest itself increasingly across all aspects of geopolitics: national security, economic competitiveness, even social values,” said Alex Capri, a Singapore-based research fellow at the Hinrich Foundation. “It will be increasingly difficult to separate Chinese tech firms from the CCP and China’s geopolitical ambitions. They will find themselves increasingly locked out.” Chinese internet firms have struggled to replicate their online services beyond their home turf, even before Washington lawmakers began raising concerns about the wisdom of allowing the Asian country’s corporations -- like ByteDance -- to hoover up valuable personal data. India amplified those concerns by accusing apps including TikTok, Tencent’s WeChat, Alibaba’s UC Web and Baidu Inc.’s map and translation services of threatening its sovereignty and security. India’s prohibition provides further evidence that nations are using tech for to assert themselves geopolitically, following the Trump administration’s worldwide campaign to contain China and national champions like Huawei. That depends in part on how much Prime Minister Narendra Modi’s actions are motivated by domestic interests following the worst military clash between India and China in almost half a century. “Beijing should certainly worry that the impact of the deadly clash could push India toward the US,” said Zhang Baohui, director of the Centre for Asian Pacific Studies at Lingnan University. “But these recent economic measures by India may not by themselves concern Beijing too much as it understands that Modi’s government, facing rising domestic nationalism, has to do something to soothe the public sentiments and retain legitimacy.” It remains unclear how India will enforce its decision, given TikTok -- for one -- has already been downloaded by roughly one in six people. But it follows a series of steps to curb China’s presence in the country, demonstrating the administration’s hardened resolve since long-simmering tensions boiled over after a deadly Himalayan border clash that killed 20 Indian soldiers. The country’s government procurement website has barred purchases of Chinese-made goods. Authorities have asked the largest e-commerce companies, including Amazon.com Inc. and Walmart Inc.’s Flipkart, to start showing “country of origin” on goods sold. And India is said to be dragging its heels on clearing goods imported from China, stranding electronics at ports. “The Indian government thinks about governing the internet in a very similar way to China, which is blanket bans, asserting national boundaries on the internet and essentially carving out what would eventually become a version of the Indian Great Firewall,” said Dev Lewis, a research fellow at Digital Asia Hub in Shanghai. “Everyone’s struggling to deal with governing technology companies and apps, especially ones that cross borders. So when India takes a step like this, it sets a precedent for the things that you can do.” In terms of the immediate business consequences, ByteDance could be hardest-hit. India is its biggest market with more than 200 million TikTok users. During a brief ban last year, the Chinese company estimated it was missing out on half a million dollars a day of revenue. In a statement posted to Twitter, TikTok India head Nikhil Gandhi said the company complies with all data privacy and security requirements under Indian law and has not shared any user information with any foreign government, including Beijing. India’s prohibition could also give American companies a possible edge over Chinese players in a rare global tech market that is both populous and not yet saturated. While WeChat never made it big in India, banning it may help shore up Facebook Inc.’s WhatsApp. Cutting out TikTok immediately gives Alphabet Inc.’s YouTube a boost. On Tuesday, Ministry of Foreign Affairs spokesman Zhao Lijian said China was “strongly concerned” about India’s actions. “The Indian government has a responsibility to uphold the legitimate and legal rights of the international investors including Chinese ones,” he said. But for now, China doesn’t have many great options to retaliate. “While Beijing is highly adept at economic coercion, in this case it has somewhat limited options to act in a reciprocal manner,” analysts for the Eurasia Group wrote in a research note. “Bilateral trade is heavily weighted toward Chinese exports to India. Attempts to hurt India economically could blowback on Chinese companies.” ",
https://timesofindia.indiatimes.com/business/india-business/pm-modi-announces-extension-of-free-ration-scheme-says-govt-working-on-one-nation-one-ration-card/articleshow/76710523.cms,2020-06-30 19:31:00,80 crore people to get free foodgrains for 5 more months as PM Modi extends free ration scheme,"NEW DELHI: Prime Minister Narendra Modi on Tuesday announced extension of the Pradhan Mantri Garib Kalyan Anna Yojana (PMGKAY), a free ration scheme, for 80 crore people across the country for five more months till the end of November. The scheme was initially rolled out for three months. Under the scheme, 5 kgs of wheat or rice and 1 kg of pulses per month will be given free of cost to the poor. In his televised address, PM emphasized that provision of food to those in need during lockdown has been the foremost priority of the government. Hence, PM Garib Kalyan Yojana with package of Rs 1.75 lakh crore was rolled out as soon as the country went into lockdown to curb the spread of the novel coronavirus. Government has transferred Rs 31,000 crore to 20 crore poor families under direct benefit transfer and Rs 18,000 crore has been given to nine crore farmers. Live updates: Coronavirus outbreakModi also noted that the number of people who were provided free ration under the scheme is several times the population of many large nations. Further, the upcoming rainy season followed by back to back festivals would lead to an increase in expenditure by the households. Hence, the scheme was extended for a further period of five months. More on Covid-19 Coronavirus pandemic: Complete Coverage Lockdown 3.0: What's allowed and what's not in the three zones It's time to mask up and stay safe: Join TOI's #MaskIndia campaign MHA's guidelines for home isolation Trust the newspaper for your daily verified news ""Keeping all these things in mind, it has been decided to extend Pradhan Mantri Garib Kalyan Anna Yojana up to Diwali and Chhath Puja till the November end,"" Modi said on the eve of the start of 'Unlock-2' for a graded exit from the national lockdown that was imposed on March 25. Government working towards 'one nation, one ration card': PM Narendra ModiThe extension of the scheme will cost more than Rs 90,000 crore to the government. In total, the Centre will spend almost Rs 1.5 lakh crore towards the scheme if the last three months expenditure on account of the free ration scheme is also added. The Union government, he added, is also spending Rs 50,000 crore for providing employment to people in rural India. Modi also applauded the hard-working farmers and honest tax payers for making it possible for the government to procure and distribute free foodgrains. ""On behalf of all the poor of the country, I express my heartfelt gratitude to all the taxpayers and farmers, and also salute them. In the coming days, we will further strengthen our efforts and continuously work to empower the poor, downtrodden and deprived sections of society. While taking all the precautions, we will further expand the economic activities,"" Modi said. He further said that timely lockdown to contain coronavirus and other decisions saved many lives, but added that since ""Unlock 1"" has begun, people have shown negligence. He said in comparison to other countries across the globe, India has done well in dealing with the pandemic. (With PTI inputs)In Video:PM Garib Kalyan Anna Yojana extended till November: PM Narendra Modi",
https://timesofindia.indiatimes.com/india/pm-narendra-modis-speech-key-points/articleshow/76709280.cms,2020-06-30 17:57:00,PM Garib Kalyan Yojana to be extended till end of November: PM Narendra Modi,"NEW DELHI: Prime Minister Narendra Modi on Tuesday in his address to the nation announced the extension of Pradhan Mantri Garib Kalyan Yojana that will provide free food grain to over 80 crore people of the country at the cost of Rs 90,000 crore. 80 crore people to get free foodgrains for 5 more months as PM Modi extends free ration schemeHere is a look at the key points from his speech — We are entering unlock 2 of our fight against the coronavirus. We are also entering season where problems like cold, cough and fever are also aggravated. This is true that the India has been able to control the mortality rate in comparison to other countries. A timely lockdown and other decisions have saved the lives of lakhs of citizens. Ever since Unlock-1 started in the country, negligence in personal and social behaviour has been increasing. Earlier, we were more cautious about the use of masks, 'do gaj doori' and washing hands several times a day for 20 seconds In few days, the festival season will start in the country. In view of this, a decision has been taken to extend the Pradhan Mantri Garib Kalyan Yojana till the end of November. The scheme provides free grain to 80 crore people of the country. Under PM Garib Kalyan Yojana, we announced a package of Rs. 1.75 lakh crore. In the last 3 months, Rs. 31,000 crore deposited in bank accounts of 20 crore poor families. Also, Rs. 18000 crore deposited in bank accounts of more than 9 crore farmers The extension of the scheme will cost Rs 90,000 crore. PM Modi's address to the nation: Full textIn Video:PM Garib Kalyan Anna Yojana extended till November: PM Narendra Modi",
https://timesofindia.indiatimes.com/india/govt-declared-entire-nagaland-disturbed-area-for-6-more-months/articleshow/76718503.cms,2020-06-30 23:35:00,Govt declared entire Nagaland 'disturbed area' for 6 more months,"NEW DELHI: The Centre on Tuesday declared the entire Nagaland as ""disturbed area"" for a further period of six months till December-end. In a notification, the Home Ministry said the central government is of the opinion that the area comprising the whole Nagaland is in such a disturbed and dangerous condition that the use of armed forces in aid of the civil power is necessary. ""Now, therefore, in exercise of the powers conferred by Section 3 of the Armed Forces (Special Powers) Act, 1958 (No. 28 of 1958) the central government hereby declares that whole of the said State to be a 'disturbed area' for a period of six months with effect from 30th June, 2020 for the purpose of that Act,"" the home ministry said. Nagaland has been under the coverage of the Armed Forces (Special Powers) Act (AFSPA) for almost six decades and it was not withdrawn even after a framework agreement was signed on August 3, 2015, by Naga insurgent group National Socialist Council of Nagaland (Isak Muivah) General Secretary Thuingaleng Muivah and government interlocutor R N Ravi in the presence of Prime Minister Narendra Modi. The decision to maintain the status quo in Nagaland regarding coverage of AFSPA, a law slammed by many civil society groups as ""draconian"", came amidst reports of deteriorating law and order situation there. The AFSPA gives the armed forces sweeping powers to search and arrest, and to open fire if they deem it necessary for ""the maintenance of public order"". ",
https://timesofindia.indiatimes.com/business/india-business/govt-directs-internet-companies-to-immediately-block-chinese-apps/articleshow/76717660.cms,2020-06-30 23:07:00,Govt directs internet companies to immediately block Chinese apps,"NEW DELHI: The government on Tuesday directed all internet service providers to block 59 Chinese mobile apps under emergency clause of the IT Act, according to sources. The order has been issued in two sets -- the first set contains list of 35 apps and the other 24 apps based out of China, the sources said. ""Order to block all 59 Chinese apps to internet service providers have been issued now,"" a telecom ministry source told PTI. The list has same set of apps as was announced by the government on Monday. It includes name of TikTok, UC News, UC Browser, Viva Video, Mi Video Call, Bigo Live, Wechat etc. ""The government has issued web link along with IP addresses which will make Internet service providers to easily block the access to Chinese apps,"" an industry source said. ""The Ministry of Electronics and & Information Technology has issued directions for blocking 24 apps under the emergency clause 69A of the IT Act 2000, in addition to 35 apps for whose blocking instructions have been issued earlier today itself,"" a DoT order to internet companies said. India on Monday banned 59 apps with Chinese links, including hugely popular TikTok and UC Browser, saying they were prejudicial to sovereignty, integrity and security of the country. ",
https://timesofindia.indiatimes.com/home/education/news/bennett-university-launches-ba-liberal-arts-programme-with-business-studies-mass-communication-majors/articleshow/76702744.cms,2020-06-30 15:05:00,Bennett University launches BA Liberal Arts programme,"
Indian students need not go to western countries to do a programme in Liberal Arts. They now have one avenue to do a Liberal Arts programme in India without compromising on the quality and flexibility offered by the universities abroad. Bennett University is launching Liberal Arts program from the academic year 2020.


The programme, which is of three years duration, allows students to pace their learning, and gives them space to decide the courses of their choice. It also offers them the opportunity to do an extra one year and earn a Post-Graduate Diploma in their chosen area of study after finishing their degree.


The programme has been designed to provide all round, holistic development to students; education that develops skills, improves perspectives and prepares students to deal with everyday challenges of life in a balanced and responsible manner. 

An important feature of the programme is that the students do not have to choose their Major at the time of admission. Instead, they have one full year to explore their area of interest. It is only in the second year that they decide their Major.


Here too they have a wide choice. They have ten domains to choose a Major from. These include: 
Psychology, Philosophy, Business Studies, Marketing, Journalism, Advertising & Public Relations, Economics, Political Science, English Literature and Finance.

Further, each Major has a specialized basket of Electives, courses which have been hand-picked to help students further their knowledge and allow them to explore new areas of interest. 


The students are also exposed to a wide range of Foundation courses in the first year to broaden their knowledge and build all-round skills such as oral and writing skills, critical thinking skills and problem-solving skills. 


The Bennett University Programme is not limited to classroom learning alone. The students will earn credits for playing physical sports or going to the gym. They will be given classics and bestsellers from various fields to read, analyse and discuss. This will help improve their conversational skills and perspectives and challenge dogmas. They will also get an opportunity to meet and interact with some of the leading lights of the media and the industry.


Such all-round learning will improve the worldview, self-esteem and confidence of students, and open a wide range of career options. These include journalism, public relations, content creation, advertising, marketing, finance, management, counselling, analytics, consultancy, economic services, civil services, and many more.


The Finance, Business Studies and Marketing Majors will also impart leadership skills and help students climb the corporate ladder faster. 
These three Majors are not offered by other Liberal Arts programs in the country and are quite unique to Bennett University’s Liberal Arts programme.  

 Educationists believe that Liberal Arts programmes will change the course of higher education in India. They will lead to the emergence of a new generation of youngsters who are more confident, more skilled and better able to deal with the challenges of life.

 
 
Website URL- 
https://www.bennett.edu.in/admission/programs/ba-liberal-arts/

Contact number- 1800 103 8484

 
 


 
 
 
 

 
  Disclaimer: Content Produced by Bennett University
 

",
https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/heres-how-kartik-aaryan-geared-up-to-watch-pm-narendra-modis-address-to-nation/articleshow/76715380.cms,2020-06-30 21:19:00,Here's how Kartik Aaryan geared up to watch PM Narendra Modi's address to nation,"Actor Kartik Aaryan sure knows how to bring a smile on his fans' faces.

On Tuesday, he posted a funny post before Prime Minister Narendra Modi's address to the nation at 4 pm.

He uploaded a picture where his mother can be seen feeding him with a spoon. It looked like a spoonful of dahi-cheeni, which Indians consider auspicious eating before doing something important. Kartik's caption hinted that he had a spoon of dahi-cheeni to watch PM Modi's speech.

""Gearing up for Modiji's address to the nation,"" Kartik wrote, leaving netizens in splits.



Actress Mandira Bedi commented: ""Lol""

Actress Anushka Ranjan reacted ""hahah"" to Kartik's post.

Recently, the actor had taken to Instagram to condemn the dog slaughter in China. Sharing a throwback picture with his dogs, Kartik expressed, ""Har saal Dil Todte hain yeh Yulin Festival waale 💔 #YulinKMKB #StopYulin""

On the work front, Kartik was last seen in Mudassar Aziz's 'Pati Patni Aur Woh' co-starring Ananya Panday and Bhumi Pednekar. He will next feature in 'Bhool Bhulaiyaa 2' with Kiara Advani.
",
https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/sushant-singh-rajputs-co-star-sanjana-sanghi-leaves-the-police-station-after-recording-her-statement-view-pics/articleshow/76713404.cms,2020-06-30 20:03:00,Sushant Singh Rajput's co-star Sanjana Sanghi leaves the police station after recording her statement; view pics,"Bollywood actor Sushant Singh Rajput, who was suffering from depression since the last few months, committed suicide in his Mumbai apartment on 14th June. While the tragic news has shocked all his close friends, family members and fans, the police have continued with their investigation. 

After Sushant's family members, rumoured girlfriend Rhea Chakraborty and many close friends like Mukesh Chhabra, Rohini Iyer and others, his 'Dil Bechara' co-star Sanjana Sanghi arrived at the police station to record her statement earlier in the day. 

 

 

 

 

While fans have been quite eager to see the new pair in the film, Sanjana was snapped by the paparazzi, leaving the Bandra police station after recording her statement in the evening. Sanjana, who arrive in the day, can be seen heading towards her car after spending several hours in the police station, recording her statement.
 
Read Also:Sushant Singh Rajput's goofy picture with 'Dil Bechara' co-stars Sanjana Sanghi and Swastika Mukherjee is sure to take you down the memory lane
Sanjana, who shared a good bond with Sushant had taken to social media to share an emotional video wherein she shared her experience of working with the talented actor. Not only that but a week later she also shared a series of unseen pictures with the late actor with a heartfelt note in memory of him.






",
https://timesofindia.indiatimes.com/life-style/beauty/8-beauty-looks-of-kriti-sanon-you-need-to-try-this-summer/articleshow/76693650.cms,2020-06-30 06:00:00,8 beauty looks of Kriti Sanon you need to try this summer,"The beautiful actress Kriti Sanon never fails to impress us with her style. Be it her stylish lehengas or sultry eye make-up looks, Kriti is always taking her style game up a notch. Currently, we're taking inspiration from her experimental beauty looks. From braids to bold red lips, we're charting her best make-up and hair looks which are perfect for every occasion:


Kriti wowed everyone with her stylish gown look. For her make-up, she highlighted her eyes with a shimmery green-blue shadow, which she teamed up with nude lips.



For an ethnic look, the actress wowed in classic smokey eyes. She sported intense smokey eyes with smudged lower liner. Not to miss was her sleek bun adorned with white flowers. 




Kriti aced the retro romantic look with a black anarkali. She sported a thick wing liner with matte red lips.



For a shimmery dress, the diva went for a glam look. She opted for smokey eyes with a shimmery blue liner on the lower lids.



You can never go wrong with braids in summer. Kriti sported this hairdo with a gingham print top. And, for her make-up, she opted for smudged liner and a soft pink lip colour.



For a fuss-free hairdo this season, take inspiration from Kriti. The actress sported a slicked-back ponytail. And, for her make-up, she sported black kohl eyes with nude lips.




This fresh-faced look is perfect for summer outings. Kriti sported kohled eyes with highlighted cheeks and a lip gloss.



Kriti made a beauty statement with behind-the-ears sleek hair, retro wing liner and glossy lips.



 
  
   https://www.instagram.com/p/B0DwyIPl58_/
  
  
   https://www.instagram.com/p/B0DwyIPl58_/?utm_source=ig_embed&amp;amp;utm_campaign=loading
  
  
  
 
",
